Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_10.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",24000000,12972,"1,850 sqft",2 BHK,Ready To Move,N/A,Fourways Consultant,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-1850-sq-ft-spid-Q79802295,N/A,page_10.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",42500000,16190,"2,625 sqft",3 BHK,Ready To Move,N/A,Fourways Consultant,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2625-sq-ft-spid-P79801903,N/A,page_10.html
Jaypee Greens Knights Court,"Sector 128, Noida",28500000,11529,"2,472 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Saathi Propmart,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-knights-court-sector-128-noida-2472-sq-ft-spid-P79976069,N/A,page_10.html
Mahagun Mezzaria,"Sector 78, Noida",37400000,14980,"2,500 sqft",3 BHK,Ready To Move,Dealer·1mo ago,PROPERTY HOUSE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mahagun-mezzaria-sector-78-noida-2500-sq-ft-spid-G79884209,N/A,page_10.html
Amrapali Zodiac,"Sector 120, Noida",8500000,7441,"1,075 sqft",2 BHK,Ready To Move,Dealer·1mo ago,Om Sai Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-amrapali-zodiac-sector-120-noida-1075-sq-ft-spid-C79989855,N/A,page_10.html
Mahagun Mezzaria,"Sector 78, Noida",53000000,15273,"3,470 sqft",4 BHK,Ready To Move,Dealer·1mo ago,PROPERTY HOUSE,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-mahagun-mezzaria-sector-78-noida-3470-sq-ft-spid-D79884795,N/A,page_10.html
Purvanchal Royal Park,"Sector 137, Noida",43500000,14720,"2,955 sqft",4 BHK,Ready To Move,N/A,A-One Properties,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-purvanchal-royal-park-sector-137-noida-2955-sq-ft-spid-N79731971,N/A,page_10.html
3C Lotus Panache,"Sector 110, Noida",12500000,12651,988 sqft,2 BHK,Ready To Move,N/A,Earth Matters Realty Ventures,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-panache-sector-110-noida-988-sq-ft-spid-J80619731,N/A,page_10.html
Exotica Dreamville,Noida Extension,13000000,9701,"1,340 sqft",3 BHK,Ready To Move,Dealer·1mo ago,insta solution,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-exotica-dreamville-noida-extension-noida-1340-sq-ft-spid-A80119927,N/A,page_10.html
Jaypee Klassic Shaurya,"Sector 134, Noida",15400000,9420,"1,640 sqft",3 BHK,Ready To Move,N/A,Real Propmart,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-klassic-shaurya-sector-134-noida-1640-sq-ft-spid-T80642753,N/A,page_10.html
Jaypee Aman,"Sector 151, Noida",10300000,7202,"1,430 sqft",3 BHK,Ready To Move,Dealer·1w ago,NR DREAM HOMES,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-aman-sector-151-noida-1430-sq-ft-spid-L80503505,N/A,page_10.html
3C Lotus Panache,"Sector 110, Noida",27000000,10638,"2,538 sqft",3 BHK,Ready To Move,N/A,ROOF N ROOM REALTECH,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-panache-sector-110-noida-2538-sq-ft-spid-L80024885,N/A,page_10.html
3C Lotus Panache,"Sector 110, Noida",26500000,10441,"2,538 sqft",3 BHK,Ready To Move,N/A,ROOF N ROOM REALTECH,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-panache-sector-110-noida-2538-sq-ft-spid-S79662753,N/A,page_10.html
3C Lotus Boulevard,"Sector 100, Noida",25000000,14052,"1,779 sqft",3 BHK,Ready To Move,Dealer·1w ago,Green shelters Propmart Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-boulevard-sector-100-noida-1779-sq-ft-spid-V80599645,N/A,page_10.html
Homes 121,"sector 121, Noida",10500000,9767,"1,075 sqft",2 BHK,Ready To Move,Dealer·1w ago,SNJ REALTY INTERNATIONAL PVT LTD,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-homes-121-sector-121-noida-1075-sq-ft-spid-X80566243,N/A,page_10.html
Gulshan Vivante,"Sector 137, Noida",38500000,14555,"2,645 sqft",4 BHK,Ready To Move,Dealer·1w ago,The Home Solutions,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-gulshan-vivante-sector-137-noida-2645-sq-ft-spid-N80628417,N/A,page_10.html
ACE Parkway,"Sector 150, Noida",38500000,15650,"2,460 sqft",3 BHK,Ready To Move,N/A,KJ Infra Pvt. Ltd.,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ace-parkway-sector-150-noida-2460-sq-ft-spid-J79866927,N/A,page_10.html
Paramount Floraville,"Sector 137, Noida",11700000,11196,"1,045 sqft",2 BHK,Ready To Move,Dealer·2d ago,The Home Solutions,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-T79552409,N/A,page_10.html
Gulshan Ikebana,"Sector 143, Noida",23000000,13569,"1,695 sqft",3 BHK,Ready To Move,Dealer·2w ago,SANA Infra Estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1695-sq-ft-spid-F79277181,N/A,page_10.html
ACE Golfshire,"Sector 150, Noida",12000000,10041,"1,195 sqft",2 BHK,Ready To Move,Dealer·1w ago,AAVYA WEALTH MANAGEMENT,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ace-golfshire-sector-150-noida-1195-sq-ft-spid-J80674845,N/A,page_10.html
Gulshan Ikebana,"Sector 143, Noida",33000000,16541,"1,995 sqft",3 BHK,Ready To Move,Dealer·1mo ago,SANA Infra Estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1995-sq-ft-spid-J80200627,N/A,page_10.html
Gaur Grandeur,"Sector 119, Noida",14200000,11833,"1,200 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Gupta Ji Properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gaur-grandeur-sector-119-noida-1200-sq-ft-spid-P80072221,N/A,page_100.html
Kalpataru Vista,"Sector 128, Noida",68500000,17541,"3,905 sqft",4 BHK,Ready To Move,Dealer·1mo ago,Iconic Realty Propmart,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-vista-sector-128-noida-3905-sq-ft-spid-V79852845,N/A,page_100.html
Gaur Grandeur,"Sector 119, Noida",18000000,12413,"1,450 sqft",3 BHK,Ready To Move,Dealer·3w ago,Gupta Ji Properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gaur-grandeur-sector-119-noida-1450-sq-ft-spid-V80282041,N/A,page_100.html
