Property Name,Location,Price,Price_Numeric,Area,Area_Numeric,BHK,Type,Posted By,Posted Time,Property URL,Source,Price_Per_Sqft
Ireo Victory Valley,"Sector 67, Gurgaon",29500000.0,29500000.0,"1,435 sqft",1435.0,2 BHK,Ready To Move,Avinash Estates,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ireo-victory-valley-sector-67-gurgaon-1435-sq-ft-spid-P81035595,99acres,20557
Unitech Uniworld City,"Sector 30, Gurgaon",47500000.0,47500000.0,"2,368 sqft",2368.0,3 BHK,Ready To Move,Avinash Estates,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-unitech-uniworld-city-sector-30-gurgaon-2368-sq-ft-spid-T80270067,99acres,20059
"South City 2, Gurgaon","South City 2, Gurgaon",34000000.0,34000000.0,"2,430 sqft",2430.0,4 BHK,Ready To Move,Siya Ram Realty Ventures,Dealer·2w ago,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-2-gurgaon-2430-sq-ft-spid-W81679826,99acres,13991
Shapoorji Pallonji Joyville Gurugram,"Sector 102, Gurgaon",25000000.0,25000000.0,"1,852 sqft",1852.0,3 BHK,Ready To Move,White Bricks Realty,Dealer·3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1852-sq-ft-spid-D81450011,99acres,13498
Shapoorji Pallonji Joyville Gurugram,"Sector 102, Gurgaon",14500000.0,14500000.0,915 sqft,915.0,2 BHK,Ready To Move,White Bricks Realty,Dealer·3w ago,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-915-sq-ft-spid-R81617993,99acres,15846
TARC Maceo,"Sector 91, Gurgaon",23000000.0,23000000.0,"2,320 sqft",2320.0,3 BHK,Ready To Move,deep Associates,Dealer·4w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-tarc-maceo-sector-91-gurgaon-2320-sq-ft-spid-C81439517,99acres,9913
"DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",45000000.0,45000000.0,"2,844 sqft",2844.0,4 BHK,Ready To Move,D2 Homes,Dealer·1mo ago,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-2844-sq-ft-spid-L81019903,99acres,15822
Ireo Victory Valley,"Sector 67, Gurgaon",44500000.0,44500000.0,"2,411 sqft",2411.0,3 BHK,Ready To Move,Avinash Estates,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ireo-victory-valley-sector-67-gurgaon-2411-sq-ft-r1-spid-Y79751121,99acres,18457
Brisk Lumbini Terrace Homes,"Sector 109, Gurgaon",18500000.0,18500000.0,"1,871 sqft",1871.0,3 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-brisk-lumbini-terrace-homes-sector-109-gurgaon-1871-sq-ft-spid-E81769710,99acres,9887
Shapoorji Pallonji Joyville Gurugram,"Sector 102, Gurgaon",31000000.0,31000000.0,"1,700 sqft",1700.0,4 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1700-sq-ft-spid-E81761752,99acres,18235
ATS Tourmaline,"Sector 109, Gurgaon",25200000.0,25200000.0,"2,150 sqft",2150.0,3 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-tourmaline-sector-109-gurgaon-2150-sq-ft-r2-spid-G78740683,99acres,11720
Shapoorji Pallonji Joyville Gurugram,"Sector 102, Gurgaon",18000000.0,18000000.0,"1,215 sqft",1215.0,2 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1215-sq-ft-r2-spid-D78869325,99acres,14814
Puri Emerald Bay,"Sector 104, Gurgaon",20000000.0,20000000.0,"1,550 sqft",1550.0,2 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-1550-sq-ft-r1-spid-C78279097,99acres,12903
Puri Diplomatic Greens,"Sector 111, Gurgaon",48500000.0,48500000.0,"2,950 sqft",2950.0,4 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2950-sq-ft-spid-H81409659,99acres,16440
ATS Triumph,"Sector 104, Gurgaon",26000000.0,26000000.0,"2,290 sqft",2290.0,3 BHK,Ready To Move,Bhoomi Realtor,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-triumph-sector-104-gurgaon-2290-sq-ft-spid-L81160121,99acres,11353
Vatika City,"Sector 49, Gurgaon",42500000.0,42500000.0,"2,410 sqft",2410.0,3 BHK,Ready To Move,SHANTI PROPERTY,Dealer·1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-vatika-city-sector-49-gurgaon-2410-sq-ft-spid-O80034677,99acres,17634
"Block C Palam Vihar, Gurgaon","Block C Palam Vihar, Gurgaon",31000000.0,31000000.0,"3,240 sqft",3240.0,4 BHK,Ready To Move,Deepak Bhatnagar Interior Construction &Investment,Dealer·1mo ago,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-palam-vihar-gurgaon-3240-sq-ft-spid-U80133451,99acres,9567
Ashiana The Center Court,"Sector 88A, Gurgaon",19000000.0,19000000.0,"1,565 sqft",1565.0,3 BHK,Ready To Move,Rock and Bricks Consultant,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ashiana-the-center-court-sector-88a-gurgaon-1565-sq-ft-spid-T81710468,99acres,12140
Bestech Altura,"Sector 79, Gurgaon",28000000.0,28000000.0,"2,150 sqft",2150.0,3 BHK,Ready To Move,Investors Dwell,Dealer·3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bestech-altura-sector-79-gurgaon-2150-sq-ft-spid-N81526513,99acres,13023
Birla Navya,"Sector 63A, Gurgaon",32500000.0,32500000.0,"2,475 sqft",2475.0,3 BHK,Ready To Move,Gurugram Leasing Partners,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-birla-navya-sector-63a-gurgaon-2475-sq-ft-r1-spid-S78613053,99acres,13131
Shree Vardhman Victoria,"Sector 70, Gurgaon",23500000.0,23500000.0,"1,950 sqft",1950.0,3 BHK,Ready To Move,Flats In Cart,Dealer·2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shree-vardhman-victoria-sector-70-gurgaon-1950-sq-ft-spid-X81439207,99acres,12051
Smart World Orchard,"Sector 61, Gurgaon",28500000.0,28500000.0,"1,697 sqft",1697.0,3 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-orchard-sector-61-gurgaon-1697-sq-ft-spid-X82131536,99acres,16794
"Sector 15 Part 2, Gurgaon","Sector 15 Part 2, Gurgaon",23000000.0,23000000.0,"1,836 sqft",1836.0,3 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-15-part-2-gurgaon-1836-sq-ft-spid-F82137104,99acres,12527
"Sector 40, Gurgaon","Sector 40, Gurgaon",33000000.0,33000000.0,"2,367 sqft",2367.0,4 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-40-gurgaon-2367-sq-ft-spid-K81843734,99acres,13941
"South City 1, Gurgaon","South City 1, Gurgaon",33000000.0,33000000.0,"2,160 sqft",2160.0,3 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-1-gurgaon-2160-sq-ft-spid-O81842916,99acres,15277
"South City 1, Gurgaon","South City 1, Gurgaon",32500000.0,32500000.0,"2,160 sqft",2160.0,3 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-south-city-1-gurgaon-2160-sq-ft-spid-A81840642,99acres,15046
"Sector 41, Gurgaon","Sector 41, Gurgaon",45000000.0,45000000.0,"4,500 sqft",4500.0,4 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-41-gurgaon-4500-sq-ft-spid-T81839610,99acres,10000
"DLF Phase 4, Gurgaon","DLF Phase 4, Gurgaon",50000000.0,50000000.0,"3,240 sqft",3240.0,4 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-4-gurgaon-3240-sq-ft-spid-X81819156,99acres,15432
Paras Dews,"Sector 106, Gurgaon",15700000.0,15700000.0,"1,665 sqft",1665.0,3 BHK,Ready To Move,Pious Homes,Dealer·2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-dews-sector-106-gurgaon-1665-sq-ft-spid-I81762206,99acres,9429
"Block C2 Sector 3, Gurgaon","Block C2 Sector 3, Gurgaon",15800000.0,15800000.0,"1,560 sqft",1560.0,3 BHK,Ready To Move,APEXHOMZ BUILDWELL PRIVATE LIMITED,Dealer·1w ago,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-block-c2-sector-3-gurgaon-1560-sq-ft-spid-V80597241,99acres,10128
"Sector 57, Gurgaon","Sector 57, Gurgaon",20000000.0,20000000.0,"1,620 sqft",1620.0,3 BHK,Ready To Move,Capital propmart,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-57-gurgaon-1620-sq-ft-spid-D81319871,99acres,12345
Shapoorji Pallonji Joyville Gurugram,"Sector 102, Gurgaon",19000000.0,19000000.0,"1,360 sqft",1360.0,3 BHK,Ready To Move,Prithvi Realty,Dealer·1w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shapoorji-pallonji-joyville-gurugram-sector-102-gurgaon-1360-sq-ft-spid-U81268693,99acres,13970
Smart World Gems,"Sector 89, Gurgaon",19800000.0,19800000.0,"1,620 sqft",1620.0,3 BHK,Ready To Move,Sahil Properties,Dealer·4w ago,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-smart-world-gems-sector-89-gurgaon-1620-sq-ft-spid-M81451357,99acres,12222
Signature Global City,"Sector 37D, Gurgaon",18800000.0,18800000.0,"1,535 sqft",1535.0,3 BHK,Ready To Move,Urban Nest,Dealer·Yesterday,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-city-sector-37d-gurgaon-1535-sq-ft-spid-E82131524,99acres,12247
Signature Global City,"Sector 37D, Gurgaon",18500000.0,18500000.0,"1,535 sqft",1535.0,3 BHK,Ready To Move,Urban Nest,Dealer·2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-city-sector-37d-gurgaon-1535-sq-ft-spid-U81688904,99acres,12052
BPTP Park Generations,"Sector 37D, Gurgaon",18000000.0,18000000.0,"1,520 sqft",1520.0,3 BHK,Ready To Move,Bhoomi Zone Associates,Dealer·3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-park-generations-sector-37d-gurgaon-1520-sq-ft-spid-L81557219,99acres,11842
BPTP Park Generations,"Sector 37D, Gurgaon",18000000.0,18000000.0,"1,520 sqft",1520.0,3 BHK,Ready To Move,Owner,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bptp-park-generations-sector-37d-gurgaon-1520-sq-ft-spid-I81282047,99acres,11842
Central Park Flower Valley,"Sector-33 Sohna, Gurgaon",16399999.0,16399999.0,"1,210 sqft",1210.0,3 BHK,Ready To Move,DEVANSHI REALTECH,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-central-park-flower-valley-sector-33-sohna-gurgaon-1210-sq-ft-spid-M81385631,99acres,13553
M3M The Marina,"Sector 68, Gurgaon",18500000.0,18500000.0,"1,584 sqft",1584.0,3 BHK,Ready To Move,Fortune Realty,Dealer·1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-the-marina-sector-68-gurgaon-1584-sq-ft-spid-Y81293119,99acres,11679
Ramprastha The Edge Towers,"Sector 37D, Gurgaon",14000000.0,14000000.0,"1,990 sqft",1990.0,3 BHK,Ready To Move,Seven Realty,Dealer·Yesterday,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1990-sq-ft-r33-spid-Z27672055,99acres,7035
Ramprastha The Edge Towers,"Sector 37D, Gurgaon",14500000.0,14500000.0,"1,990 sqft",1990.0,3 BHK,Ready To Move,Realistic Realty,Dealer·3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramprastha-the-edge-towers-sector-37d-gurgaon-1990-sq-ft-spid-S79008967,99acres,7286
CHD Avenue 71,"Sector 71, Gurgaon",20000000.0,20000000.0,"1,620 sqft",1620.0,3 BHK,Ready To Move,Owner,3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chd-avenue-71-sector-71-gurgaon-1620-sq-ft-spid-M81652412,99acres,12345
Orris Carnation Residency,"Sector 85, Gurgaon",12200000.0,12200000.0,"1,475 sqft",1475.0,3 BHK,Ready To Move,Real Estate Properties,Dealer·1w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1475-sq-ft-spid-A81958420,99acres,8271
Orris Carnation Residency,"Sector 85, Gurgaon",12100000.0,12100000.0,"1,475 sqft",1475.0,3 BHK,Ready To Move,Real Estate Properties,Dealer·4d ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1475-sq-ft-spid-T80753115,99acres,8203
Orris Carnation Residency,"Sector 85, Gurgaon",12100000.0,12100000.0,"1,485 sqft",1485.0,3 BHK,Ready To Move,om associate,Dealer·4d ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-orris-carnation-residency-sector-85-gurgaon-1485-sq-ft-r9-spid-A59045088,99acres,8148
Antriksh Heights,"Sector 84, Gurgaon",13700000.0,13700000.0,"1,350 sqft",1350.0,3 BHK,Ready To Move,Owner,1w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1350-sq-ft-spid-S81902506,99acres,10148
